Label,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10
0,0.0081492,-0.00081052,-0.0099348,0.00014074,0.00081625,0.0041972,0.022911,0.011682,0.010063,0.0059863
1,-0.023116,-0.019897,0.0040521,-0.020661,-0.036654,0.020479,0.035251,-0.011058,0.0081975,-0.017116
1,-0.0052424,-0.03141,0.011522,0.025988,-0.018801,0.019775,-0.0032683,0.025197,-0.023508,-0.014179
1,-0.013704,-0.0060215,-0.012979,-0.018006,-0.017857,0.0083037,0.014093,-0.003134,-0.011608,-0.010059
1,-3.66e-05,-0.041712,0.024565,0.0066537,-0.019373,0.0067642,0.008504,-0.014067,-0.011887,-0.0046679
0,0.0098476,0.014307,0.014085,0.0025246,-0.0030335,-0.0068283,-0.0035797,0.0027606,0.018306,0.025489
1,-0.030977,-0.0011228,0.015011,-0.015677,-0.02115,0.011977,-0.004145,0.015103,0.013869,0.0083082
1,-0.008153,0.0044481,0.0080061,-0.01322,-0.029534,0.023963,0.03286,-0.013147,0.004913,-0.0033122
1,-0.033895,0.010886,-0.01321,0.019876,-0.022483,0.038563,-0.0021918,-0.00027149,-0.0049571,-0.014401
0,0.011244,0.0055493,0.0074149,-0.0059136,0.00052569,0.0061436,-0.0065887,0.00021494,-0.014093,0.0028908
1,-0.011117,-0.010617,-0.0022046,0.041105,-0.041517,0.018344,0.025843,-0.031169,-0.021551,-0.017354
0,0.0039673,0.013264,-0.00086906,0.01338,-0.00475,-0.0019734,-0.015395,-0.025466,0.0056465,0.0019676
0,-0.0055239,0.016546,0.024754,0.02725,0.006502,-0.0057332,-0.020955,-0.0014189,-0.0080266,-0.010988
0,-0.031454,-0.016175,-0.022248,0.004932,0.0063996,-0.015408,-0.0035143,-0.013623,-0.0034051,0.02557
1,-0.0050576,0.015932,0.027719,-0.0044466,-0.024485,0.026072,0.0055709,0.051819,0.012546,0.027941
1,0.011774,0.0049322,-0.0095268,-0.0088929,-0.012424,0.021902,0.024087,0.0014202,-0.0025949,-0.0057612
0,0.0025726,0.032548,-0.018065,0.0025808,-0.0094536,-0.014694,0.0028619,0.0046249,-0.021902,0.013699
1,-0.031591,-0.0045177,-0.0054163,0.015407,-0.019491,0.024685,-0.029733,0.0024037,0.0061538,0.0049146
0,0.020691,-0.0026108,-0.00094403,-0.00033442,-0.022551,-0.0040034,-0.0087935,-0.010215,0.021291,0.011842
1,-0.0014386,-0.033291,0.01345,0.010702,-0.027626,0.0097644,0.026844,-0.017214,0.017652,-0.003968
0,0.017226,0.0023323,-0.0012983,-0.013795,-0.026219,-0.00054705,-0.011095,-0.0050456,-0.019853,-0.0063904
1,-0.010592,-0.033891,-0.015938,0.0060128,-0.010607,0.0082564,0.026196,0.0016993,0.016211,-0.00085392
1,-0.013962,-0.00048316,0.0058147,0.01118,-0.0039296,0.010688,0.0049218,0.019791,-0.015525,-0.01983
0,-0.0052974,-0.0044378,-0.00721,-0.030873,0.012494,-0.0047687,-0.0018231,0.011688,-0.0061357,-0.0038213
1,-0.043486,0.0031305,-0.0044101,-0.0063665,-0.0078426,-0.0009647,0.0059866,-0.015259,0.016787,-0.0051933
1,-0.025685,-0.036364,0.027651,0.023408,-0.047994,0.014003,0.069049,-0.043793,-0.018624,-0.0090484
0,-0.0048715,0.0098201,-0.014043,-0.016325,0.010658,-0.00020811,-0.017301,0.007819,-0.01568,-0.0074303
0,0.008529,-0.011975,0.014398,0.0003221,0.0037499,0.00074931,-0.0063317,-0.0013371,-0.016313,0.0023578
1,-0.016133,-0.055737,0.034131,-0.0052151,-0.019502,0.0193,0.037157,-0.018337,0.0073027,0.00019156
0,-0.010141,-0.011533,-0.016735,0.018607,0.01403,-0.016781,0.0014857,0.0059988,-0.013143,0.0010009
0,0.0013404,-0.0020767,-0.021862,-9.29e-05,-0.0016364,-0.0082727,0.0028534,0.0034792,-0.019925,0.0055342
0,-0.00099274,0.011865,0.0096827,-0.008614,0.00063107,0.015056,-0.0026885,0.0095468,-0.022968,0.013445
1,-0.023203,-0.0060948,0.0030571,0.024953,-0.019316,0.015084,-0.028842,0.027359,-0.011291,0.020124
1,-0.049841,-0.028871,0.0050058,0.03122,-0.025343,0.025964,0.0003022,0.026579,0.001541,0.03206
0,0.023,-0.0062971,-0.024103,0.0079548,-0.013168,0.0019193,-0.009509,-0.0035205,-0.01697,-0.0087176
0,0.0020119,-0.001903,-0.0088423,0.015097,0.013272,0.0030891,0.0041351,-0.0053731,0.013507,-0.013687
1,-0.015413,-0.019465,-0.011641,0.043705,0.0073325,0.024442,0.04391,-0.043046,-0.036628,-0.032458
1,-0.011654,-0.005488,-0.0073335,0.021654,-0.018777,-0.015107,-0.020389,-0.003261,0.010483,-0.00096333
0,0.010756,0.011497,0.003348,-0.0015703,-0.016967,0.015721,-0.0049675,0.010291,0.00014284,-0.0030659
0,-0.0091018,0.0019079,0.0026079,3.51e-05,0.0096886,-0.0093526,-0.0024105,-0.018925,0.025137,-0.013831
0,0.011551,-0.013166,-0.025814,-0.0014734,0.0013755,0.003748,-0.0060609,-0.0074701,-0.015295,0.020405
0,0.035921,0.0061132,0.021287,0.021487,0.0027458,-0.0079313,-0.0016788,9.87e-05,-0.011771,0.018964
0,-0.016723,0.0098537,0.00085064,0.0075989,0.025307,-0.014803,-0.01163,-0.018207,0.00326,-0.015862
0,0.0062762,0.0054016,0.035538,-0.012969,-0.0011639,0.020987,-0.0073892,-0.0080885,-0.015222,0.0042502
1,-0.011519,0.0059856,0.017506,0.018542,-0.0018128,0.027908,0.015766,0.016112,-0.019311,-0.012419
0,0.0054049,0.0028995,0.021159,-0.01011,-0.005088,-0.023851,-0.0074598,-0.00053025,0.020253,-0.016325
0,0.0064472,-0.0035879,0.0034176,0.0036851,0.020554,0.014795,0.0093849,0.0071684,0.0013526,-0.004619
0,0.0090481,-0.0040741,0.012012,0.033087,0.010024,-0.015188,0.00034588,-0.019706,0.022737,-0.011017
1,-0.017995,-0.037014,0.006065,-0.021418,-0.0050411,-0.010939,0.0046182,0.023667,0.042879,0.028223
0,-0.0054434,0.012682,0.010463,0.0085216,0.014152,0.014494,0.0057898,-0.014533,-0.0019328,0.00052175
1,-0.024244,-0.0045084,0.013787,0.0054935,0.003548,0.02559,0.006253,0.01035,-0.0041641,-0.014251
0,0.024855,0.0048683,0.00066989,-0.014864,-0.0064998,0.00066723,-0.0083362,-0.0035898,-0.0092215,-0.0066547
1,-0.011482,-0.010483,0.014579,0.0043208,0.0033991,0.012984,0.014284,0.0012738,0.0082685,0.0002509
1,-0.01536,-0.013798,-0.038077,0.0043659,-0.012664,0.015685,0.013095,0.028176,0.01098,0.0053147
0,-0.0045366,0.0064002,-0.0089505,0.021007,-0.0021117,-0.0095307,0.014245,-0.0024824,0.017658,0.0040729
0,-0.0052272,0.014259,-0.0031789,0.011506,0.0021091,0.01373,0.020807,0.01876,0.0045876,-0.0011908
1,-0.012371,7.73e-05,-0.023529,-0.013626,0.00091533,-0.0097761,0.0096228,0.032719,-0.019061,-0.014285
0,-0.010941,0.0018516,-0.0042106,0.020884,0.0043622,-0.0077586,-0.010435,-0.0089059,-0.014515,0.0027198
0,0.02469,-0.0009446,0.025089,-0.0062626,-0.001919,-0.024191,-0.011822,0.0060426,-0.0052386,-0.014545
1,-0.038314,0.0098283,-0.011597,0.0064296,0.0072919,5.46e-05,0.014172,-0.014913,-0.004654,-0.021913
1,-0.016177,0.0072268,0.0055034,0.032326,-0.0011128,0.0042481,0.037106,0.0074695,-0.022618,-0.013009
1,-0.031832,-0.029738,0.0098143,-0.0074764,-0.0096908,0.041792,-0.0070824,0.036595,0.016916,0.033115
1,-0.0093708,0.0041768,0.0075136,-0.00098689,-0.011983,0.0066295,-0.0036667,0.01404,-0.01588,-0.022049
1,-0.020557,-0.0070087,0.021421,0.01371,-0.012901,0.015818,-0.011647,0.022242,-0.0083455,0.021217
0,0.0026106,-0.0063137,-0.0091486,-0.000678,0.018149,-0.005187,0.0044733,-0.0013995,0.00675,-0.015607
1,-0.017232,0.0019072,0.0091286,0.0047411,-0.0065116,0.021374,-0.0029789,0.0088077,-0.00018098,-0.028467
0,0.022556,-0.0046838,-0.020171,0.0065193,-0.0047863,0.027233,0.0033477,0.0031699,0.00016531,0.0037956
1,-0.002259,-0.022106,-0.005905,0.009841,-0.036596,-0.0066529,0.026139,0.0028258,0.022268,0.011849
0,-0.0073703,-0.017375,-0.032445,0.0048365,0.035984,0.010267,-0.011368,-0.014548,0.0086197,0.0019469
1,-0.020427,-0.0033339,0.0084347,0.0029913,-0.010852,0.011057,0.015391,0.0077364,0.0037022,0.0060349
1,-0.025892,-0.030881,0.0056578,-0.030621,-0.029709,0.02832,0.023657,-0.006688,-0.0085864,-0.0066926
0,0.018813,-0.0028826,-0.0069865,-0.0054836,-0.0095575,0.0021262,-0.0033042,-0.0034506,0.0024234,-0.027024
0,0.01721,0.0025143,0.0070509,0.0084087,-0.0068793,0.015603,0.0097407,-0.021709,0.017764,-0.0045277
0,0.016593,-0.026183,-0.0067441,-0.0016208,0.012056,-0.0047812,0.0082355,0.010559,-0.02491,0.010393
1,-0.021874,0.0070742,-0.011128,0.008463,0.00094774,0.012272,-0.0016645,0.018372,-0.0013999,0.029678
1,-0.025963,-0.004481,0.0045721,0.00086371,-0.042196,0.036267,0.031925,0.0045398,-2.87e-05,-0.0026358
0,0.012489,-0.0013266,-0.0085548,0.0049385,-0.0079847,0.011901,-0.010768,-0.013199,0.0041609,-0.01751
1,-0.049044,0.010874,0.0015651,-0.030267,-0.065893,0.012275,0.026612,-0.050768,-0.048236,0.008209
0,-0.0088615,0.013623,0.0039596,-0.00036694,-0.004556,-0.0079052,-0.010725,-0.0063397,0.026582,-0.01483
0,0.0098214,0.0015805,-0.013976,-0.0111,-0.010871,0.0054788,-0.017125,-0.0013627,0.034336,-0.01946
1,-0.039348,0.015589,-0.037905,0.028589,-0.00073282,0.0096303,0.013607,0.00051952,-0.0059767,-0.0018315
0,-0.0055239,0.016546,0.024754,0.02725,0.006502,-0.0057332,-0.020955,-0.0014189,-0.0080266,-0.010988
0,-0.0038206,-0.0035031,-0.0064016,-0.019228,0.002783,0.011951,-0.013581,-0.0069684,-0.01945,0.0054446
1,-0.0075651,-0.021462,-0.0044836,-0.014715,-0.0058859,0.007154,0.0061454,0.00028208,-0.0037006,-0.0024963
1,-0.015078,-0.03374,0.0049736,-0.0092063,-0.021368,0.0028656,-0.0047748,0.043801,0.012081,0.0061676
0,0.0096887,0.015713,-0.0041111,0.0017996,-0.009713,-0.005349,-0.0098628,-0.0038353,-0.010285,0.015376
0,0.0036342,0.015657,0.0070537,0.0031819,-0.011581,0.011557,0.0064329,0.021372,-0.012298,0.026466
0,0.0063455,-0.010378,-0.013969,-0.015108,0.0016785,-0.015905,-0.0093487,0.0010278,-0.024832,-0.0051157
0,-0.028831,-0.007238,-0.011464,0.0020871,0.00471,0.0012268,-0.038686,-0.011353,0.0036605,-0.043251
1,-0.0052612,-0.011046,-0.013879,0.020985,-0.014524,-0.023589,0.0065699,-0.023455,0.029227,0.003961
0,-0.00037187,0.0088198,-0.00014525,0.0056312,0.013395,0.016036,0.0064697,-0.0057816,0.033533,-0.0040012
0,-0.014758,0.0030602,0.0063696,0.0035594,0.01921,-0.0094949,-0.013382,-0.00546,0.0093963,0.0016977
1,-0.01384,-0.0099364,0.00687,0.014402,0.0084354,-0.0029537,0.0089379,0.014636,-0.025454,-0.0018342
0,-0.013501,-0.0062323,0.0074306,0.0037676,0.0094571,0.0040434,0.0047648,0.00197,-0.004158,0.015451
0,0.010951,0.012455,0.012694,0.010604,-0.0044786,-0.0020827,0.012002,0.021076,1.21e-05,0.0033782
1,-0.013915,0.023147,-0.0042802,-0.0046054,-0.0048525,0.015658,0.00071149,0.024115,-0.0090615,0.0066553
0,-0.0059321,-0.014988,0.012064,-0.0166,0.013717,-0.0009607,0.0060446,0.005814,-0.0124,0.017953
1,-0.011689,-0.030339,0.033224,0.020554,-0.0010794,-0.0027979,0.0021606,-0.0037152,-0.0094922,-0.0066759
0,0.025823,-0.016328,-0.011819,0.017808,-0.0011637,0.0015259,-0.007287,-0.018514,0.0081847,-0.0065457
0,-0.010975,-0.018566,-0.0025016,-0.010117,0.016889,0.0041696,0.0057088,0.0068207,-0.012781,0.015763
0,-0.0051843,0.020894,-0.010453,-0.0045316,0.01291,-0.010693,-0.021291,-0.0050243,-0.002288,-0.032123
1,-0.015726,-0.0078401,0.013182,-0.0029564,-0.021393,0.0038095,-0.023325,0.0070253,0.056977,-0.024993
1,-0.0082594,-0.013937,-0.024855,0.010618,-0.016174,0.023716,0.009092,0.013934,0.026147,0.029737
1,-0.015181,0.010984,-0.012629,0.027022,-0.03139,0.010862,0.017834,0.024937,-0.043276,-0.022551
1,-0.026558,-0.050733,-0.0054133,-0.0086125,-0.027747,0.018822,-0.0072527,-0.0020988,0.0023775,0.0031478
1,-0.023392,-0.035182,-0.0043163,-0.017718,-0.029966,0.0083592,0.0079577,0.017959,0.0062829,0.033529
1,-0.0096167,0.0095669,-0.017094,-0.0012806,-0.024782,-0.0013056,-0.009213,0.012283,0.0134,0.0040489
1,-0.045796,0.0052568,-0.017832,-0.009834,-0.029138,0.051804,0.037222,-0.00059833,-0.010844,-0.014202
0,0.0050713,-0.0069601,0.0036093,-0.0042759,-0.0047114,-0.0029367,0.0016028,-0.0096524,0.0023489,0.0089844
0,0.0091069,0.0093882,0.0084703,-0.0032234,-0.0087089,-0.0080512,-0.021601,0.0011441,-0.0022443,-0.019701
0,-0.019241,-0.0024305,-0.0043417,0.011366,0.0017788,-0.0075482,-0.0060145,-0.0026724,0.0065943,0.012079
0,0.020901,-0.0042671,-0.022815,0.0070875,-0.008265,0.0095745,-0.017349,-0.029523,0.014053,-0.019847
0,0.011075,0.011067,-0.002602,-0.0039259,-0.0090234,0.018986,0.016624,0.02322,-0.02021,0.0022274
0,-0.00030072,0.014373,0.0017609,-0.016558,0.0099124,0.010368,0.0077387,0.010133,0.0073426,0.0062373
