Label,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10
,0.0050713,-0.0069601,0.0036093,-0.0042759,-0.0047114,-0.0029367,0.0016028,-0.0096524,0.0023489,0.0089844
,-0.016679,-0.0068586,-0.0083659,-0.017664,-0.0094606,0.026563,0.046641,-0.020538,-0.014751,-0.028143
,-0.026933,0.012821,0.020265,0.011913,0.038644,0.00045953,0.006515,-0.0013338,0.021111,0.020511
,-0.015046,-0.010228,0.008315,-0.0010522,-0.0068211,0.01866,-0.015495,0.014501,-0.0041126,0.0096497
,-0.013071,0.0042896,-0.014628,0.014989,-0.0088945,0.0028579,-0.013975,0.012766,0.017386,-0.0019694
,-0.0032742,0.0023487,-0.0085057,-0.0062542,-0.012528,-0.0048483,-0.010536,0.028547,-0.0063428,0.0093587
,-0.016776,0.020673,-0.018449,-0.034464,-0.01286,-0.01109,-0.060762,-0.023571,-0.058992,-0.01861
,-0.0040013,0.023744,-0.0068296,-0.016629,-0.0048591,0.013293,0.0094532,0.013615,0.025966,-0.016534
,0.0062263,-0.0089953,-0.011949,-0.0082965,0.014816,-0.0073639,0.0077467,0.0093558,-0.01371,0.0034187
,-0.014875,-0.052144,0.037355,-0.0035117,-0.019985,0.019147,0.039279,0.00036274,0.0049151,0.01572
,-0.015641,-0.0094104,0.019384,-0.049624,-0.039073,0.040746,0.0042237,-0.012758,0.00028086,0.012989
,-0.0096642,-0.012554,-0.037333,0.0025742,-0.0066106,0.014462,0.010789,0.026055,0.00059919,0.008377
,0.0046914,0.0046821,0.0034263,0.011195,0.0154,0.028802,0.0054125,0.030508,0.017912,0.013248
,-0.022284,0.011285,-0.014243,-0.0017744,-0.0021736,0.00018455,0.0035066,0.0055468,-0.018582,-0.0071343
,-0.038476,0.0029953,0.01506,0.00091183,-0.013236,0.033059,-0.006693,-0.0021879,0.012304,-0.028113
,0.006054,-0.00027554,0.011423,-0.0087192,-0.0090605,0.012969,0.0063628,0.0058128,-0.00075096,0.019732
,-0.011493,0.0017704,0.0014567,0.0020774,-0.0013663,-0.0043233,-0.0090819,-0.014219,0.0050949,-0.006313
,0.0053708,-0.010818,-0.025523,0.0052916,0.018454,0.012788,-0.0078118,-0.011455,-0.012531,0.0029924
,0.00017417,-0.00036954,0.00027642,-0.011182,0.0074995,0.015559,-0.013786,-0.014631,0.005363,0.0092662
,-0.031004,0.005702,-0.021228,-0.0089719,-0.036723,0.006607,0.019881,0.031219,-0.014941,-0.011531
,-0.0030435,0.0092398,-0.0036809,0.0044501,-0.0058603,-0.003195,0.023874,0.022802,-0.023267,0.0051586
,-0.0094622,0.0033551,0.027367,0.0073098,0.00070849,-0.0073445,-0.013641,0.015408,-0.00021839,0.028835
,-0.01056,-0.045818,-0.011775,0.051354,-0.0074823,0.017323,-0.022116,0.026173,-0.020524,-0.019253
,0.025553,0.0030089,0.018718,-0.0085655,-0.0043364,0.003493,0.022561,0.0043856,-0.0060429,0.022586
,-0.028452,-0.0045771,0.00077528,0.017647,-0.0017454,-0.012073,0.033873,0.014266,0.029937,-0.054351
,-0.0086663,-0.026082,0.0085764,0.0058826,-0.025439,-0.012207,0.014044,0.016519,-0.035788,0.019264
,-0.033363,-0.007328,0.0026765,0.028772,-0.033394,0.028288,-0.030132,0.011672,0.0072035,0.016245
,-0.013603,-0.040231,-0.011928,0.016525,-0.046864,-0.00045408,-0.0079205,0.043524,0.048091,0.014425
,0.027033,-0.0011834,-0.005669,0.0058973,0.013319,0.019209,0.010168,0.033037,-0.0031648,-0.0053288
,-0.01981,-0.032683,0.014838,0.053682,-0.015911,0.0050036,0.046254,-0.0062669,-0.031811,-0.027134
,0.012503,-1.17E-05,0.0092745,0.0054708,-0.0047553,-0.00096716,-0.015244,0.00089283,-0.024762,-0.014698
,0.0035423,0.022909,-0.0037339,0.013718,-0.0053209,0.0087277,0.0061452,-0.010259,-0.0069449,0.035878
,-0.023622,-0.0096372,0.00077487,0.025609,-0.025362,0.013531,-0.026169,0.027713,-0.014763,0.014086
,-0.0027691,-0.019093,-0.014363,0.002393,0.010703,0.017515,-0.0048908,-0.010739,-0.016676,0.0012341
,0.0027659,-0.0049076,0.015514,-0.017841,-0.0088699,0.010883,-0.0099428,-0.013416,-0.018654,0.011127
,-0.011744,0.0030379,-0.0044204,-0.006149,0.0036505,-0.0085535,-0.0017344,0.0011885,0.0011159,0.022956
,-0.026141,0.00082539,0.018449,0.017371,0.0096177,0.0055428,-0.0061349,-0.0085179,0.0047115,-0.03211
,-0.024247,0.0011333,0.00027145,0.0086216,-0.014706,0.0012089,-0.011155,0.045292,0.0087422,0.0064547
,-0.0095791,-0.0022646,-0.011694,-0.0032003,-0.0024727,-0.035322,0.018282,0.020085,0.0061777,-0.023023
,-0.0083556,-0.00744,-0.010284,0.024029,0.0016092,0.014308,0.014465,0.0028963,0.0018646,-0.019622
,0.0065078,-0.0051129,-0.01426,0.0056339,0.019635,0.0097728,0.015754,0.027379,-0.001842,-0.020342
,-0.011015,-0.016188,-0.01016,0.0055961,-0.0090616,-0.0027333,-0.0026342,0.0018242,0.0061738,0.00599
,0.016432,-0.0016952,-0.0090364,0.0096107,-0.00058107,-0.01416,0.0099893,0.010556,0.00052698,0.010596
,-0.0014885,0.01424,-0.00071832,-0.0060467,0.013643,-0.010102,0.013971,-0.020661,0.029338,0.0025134
,-0.0063778,-0.01122,0.0057768,-0.00033865,0.0053127,0.025092,-0.005631,0.0014103,-0.0030453,-0.0074337
,-0.023496,-0.011387,0.014496,0.028673,-0.023644,0.015448,0.031116,-0.032286,-0.036728,-0.013818
,0.00050925,0.0061387,0.0032329,-0.002972,0.0084164,0.0081125,0.00041405,0.0078725,-0.0073718,0.0015029
,-0.013881,-0.0047261,-0.0002144,0.0055501,0.0047794,-0.010584,-0.017271,-0.015335,0.034374,-0.022446
,0.018689,0.025841,0.0071872,0.027363,-0.017739,-0.011666,0.0081015,0.0018087,4.95e-05,-0.0050286
,0.0018799,0.012067,0.012993,-0.00026923,-0.0049655,-0.0189,0.00048239,0.010552,-0.0054204,0.032612
,0.011018,-0.0066436,-0.00016122,0.017147,-0.00067052,-0.002064,-0.015412,-0.019772,0.012805,-0.0002412
,0.016885,-0.0047367,0.00039442,0.0019705,0.00052666,0.0083906,-0.009659,-0.007998,-0.011292,0.011169
,-0.024306,-0.052049,-0.0087145,-0.011023,-0.018669,0.021206,-0.0025161,-0.0048505,0.00035643,-0.0040112
,-0.023832,0.0032083,-0.011013,-0.015373,0.013071,0.010663,0.010446,0.019182,-0.017621,-0.018517
,-0.015709,-0.0057333,-0.0088199,-0.024683,-0.00026403,-0.0066053,0.026849,0.022268,-0.040656,-0.032825
,0.0094742,0.0048059,0.019351,0.0047684,0.0046836,-0.0026923,0.02239,0.012738,-0.010096,-0.020484
,0.014101,-0.002442,-0.021317,0.0078813,0.0044184,0.01176,-0.0057318,-0.003309,-0.0072361,0.00393
,-0.016365,0.024019,-0.0044717,0.017852,-0.011065,-0.017504,-0.0011522,0.021259,-0.0065091,0.015048
,-0.027694,0.0057674,0.011648,-0.030404,-0.018285,0.017446,0.0094921,-0.015695,-0.0023439,0.010892
,-0.0058129,0.01073,0.0032445,-0.0034843,0.0016886,-0.011794,0.0029785,0.0049019,-0.003673,-0.0023787
,-0.010598,-0.040477,-0.0055749,0.002253,-0.01584,0.0050697,-0.0012343,-0.0010071,-0.0038711,-0.011035
,-0.024933,-0.013849,-0.020695,0.017286,-0.020635,0.021769,-0.0095877,0.0020864,-0.012302,-0.020737
,0.03853,-0.008001,0.010143,0.019105,-0.0013737,0.0067998,-0.0079565,-0.017872,0.033291,-0.018255
,-0.028014,-0.0053454,0.0019013,-0.0015813,-0.019056,0.028155,-0.011779,0.044623,-0.00035344,0.014558
,0.0082936,-0.0019864,-0.00040747,0.011272,0.011126,-0.021524,0.0072626,-0.0032337,0.00044966,0.0044066
,0.0086027,0.0089912,0.016405,-0.002201,-0.0053457,-0.0015317,-0.0063506,-0.011028,0.011736,-0.014523
,-0.0078127,0.0075578,0.0040213,0.026013,-0.027803,0.0030286,-0.013152,-0.036334,0.01363,-0.0091391
,0.0083054,-0.00013539,0.016049,-0.017442,-0.0018692,0.01172,-0.0053655,-0.0088419,-0.015601,0.0078381
,-0.027866,0.0019278,0.0058845,-0.00016597,-0.019299,0.035461,0.040768,-0.013114,0.0046229,0.0011055
,0.0010374,0.0041623,0.0028397,0.011455,0.0027446,-0.016259,-0.016466,0.020956,-0.010264,-0.028623
,-0.024684,-0.013488,0.00015932,-0.030321,-0.025957,0.022169,0.023432,0.0066405,0.0024792,0.013358
,-0.021468,0.013062,-0.015701,-0.00016584,0.0024746,-0.026921,-0.0014296,0.0017985,0.0053959,0.0064225
,-0.0001044,-0.014066,-0.010176,-0.011154,0.011008,0.0090874,-0.017758,0.0043276,-0.0090782,-0.020611
,0.014161,-0.0073979,-0.011791,-0.00061412,-0.015328,0.016657,-0.014672,-0.0020882,0.0058733,0.0040567
,-0.015471,0.0032331,0.011731,-0.018903,0.0066967,-0.0358,-0.022364,0.011718,0.010158,0.017473
,0.0031345,0.0088004,0.015024,-0.0074607,-0.0084716,0.0023496,-0.02291,-0.0047228,0.0050559,-0.016668
,0.01864,0.00069459,0.008486,-0.020295,0.0094799,0.0052497,0.013231,0.018248,-0.0075845,0.0066987
,-0.0042461,0.0025005,0.0065491,0.0019753,-0.016032,0.0025286,0.0012151,0.014962,-0.017072,-0.01967
,0.013742,0.020983,0.0065341,0.0042595,-0.019494,-0.0059537,-0.0014429,-0.02112,0.015838,0.037629
,-0.011495,-0.017505,0.0083893,-0.019306,-0.034863,0.014582,0.0070047,0.032221,0.028877,0.023813
,0.0031486,-0.009182,-0.014004,0.010429,0.011647,-0.010943,0.0090463,0.00098567,0.0083233,0.00044493
,-0.0042356,-0.0066509,0.021719,0.0017304,0.019062,0.00034778,-0.0098834,-0.016611,-0.023238,0.025706
,-0.0027465,-0.010927,-0.0087854,-0.0026165,-0.020546,0.017685,-0.0023829,-0.0092389,0.00074556,-0.016262
,-0.042604,0.036404,-0.018166,-0.023333,-0.022914,0.0081093,0.032596,-0.0060984,-0.010473,-0.013815
,-0.0081718,-0.0041167,0.00098613,0.00038735,-0.0066485,0.0071415,-0.011887,-0.012606,-0.022418,-0.0071126
,-0.003536,-0.0055128,0.023532,0.0053624,0.014283,-0.010014,-0.010743,-0.0024031,-0.021136,0.014004
,-0.0080224,-0.020843,0.0041499,-0.010613,-0.027381,0.033503,0.012469,0.0047334,0.045318,0.010014
,0.0040392,-0.0036787,-0.035007,-0.018746,0.018244,0.022005,0.0048253,0.010845,-0.021052,0.0096823
,-0.011682,-0.025386,-0.016108,0.033698,-0.0079311,0.029397,-0.029767,0.016009,-0.0031038,-0.019365
,-0.016759,0.011648,0.011387,0.00063567,0.010767,-0.0045605,0.0030989,-0.0037279,0.027237,-0.02292
,0.028695,0.0097136,0.0098588,0.01242,-0.021637,0.01146,-0.014803,-0.0078092,-0.0069334,-0.02006
,0.0056792,-0.0016106,0.0059778,0.0085709,-0.0050797,-0.01753,0.015442,0.022526,-0.0088777,-0.013837
,-0.012088,-0.0046429,-0.013905,0.010768,0.00992,-0.02066,0.0051936,0.0021635,-0.0080329,-0.00054327
,-0.0041006,0.004828,-0.024257,-0.0058807,-0.0075411,-0.01004,-0.0081604,0.022253,-0.0041706,-0.013294
,0.0076554,-0.0061959,-0.0015551,0.0037457,0.010289,0.0092026,-0.014886,-0.0061344,-0.0019826,-8.65E-05
,0.024277,0.012784,0.0017718,0.0018062,-0.032608,0.029073,0.028748,0.0082257,0.0045486,-0.016697
,-0.0095266,0.00092468,-0.017467,-0.0045338,0.0076147,-0.0072411,0.007608,0.017891,0.01192,0.007343
,0.0073751,-0.002392,-0.0072076,0.0045215,0.015698,0.0035719,0.0008395,0.0054116,-0.013455,0.0075738
,-0.0099822,-0.001241,-0.0068831,-0.018779,0.013092,0.01861,-0.0039492,-0.0027573,0.006236,0.0029763
,-0.023069,0.0097236,0.0073757,0.0068429,0.0014543,-2.78E-05,-0.011592,0.025522,-0.00058433,0.022121
